"Nome";"Documento";"Tipo de Cliente";"Celular";"Email";"Endereço";"Complemento";"Data de Cadastro";"Última Atualização"
"Ana Costa";"32165498700";"Empresarial";"41976543210";"ana.costa@example.com";"Avenida Paulista";"101";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"Ana Paula Souza";"11122233344";"Individual";"11987654321";"ana.paula@gmail.com";"Alameda Santos 789";"Bloco B";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Bruno Santos";"22233344455";"";"1198877665511977665544";"bruno.santos@email.com";"Rua dos Ipês 876";"Casa 5";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Camila Lima";"33344455566";"Individual";"1198877665511977665544";"camila.lima@email.com";"Alameda Jaú 654";"Apto 304";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Carlos Silva";"32145678900";"Individual";"11987654321";"carlos.silva@email.com";"Rua das Flores 123";"Apto 42";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Clara Oliveira";"77188899900";"Individual";"11988776655";"clara.oliveira@email.com";"Avenida Brasil 1500";"Apto 1001";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Diego Furukawa";"3322114455";"";"1197777777";"diego@email.com";"Rua Ccc";"Casa 13";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"Diego Silva";"44555566677";"Empresarial";"1198877665511977665544";"diego.silva@empresa.com";"Rua Augusta 432";"Sala 506";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Eduarda Santos";"55566677788";"Individual";"11988776655";"eduarda.santos@email.com";"Rua Consolação 789";"";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Fabio Oliveira";"66677788899";"Individual";"11988776655";"fabio@incorreto";"Avenida Paulista 234";"Apto 1502";"27/10/2024 14:29:44";"27/10/2024 14:29:44"
"Fabio Oliveira";"61677788899";"Individual";"11988776655";"fabio@incorreto";"Avenida Paulista 234";"Apto 1502";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Fernando Silva";"88899900111";"Empresarial";"5511988776655";"fernando.silva@empresa.com";"Rua dos Girassóis 234";"";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Gabriel Costa";"77788899900";"Empresarial";"11988776655";"gabriel.costa@dominio..com";"Rua Oscar Freire 567";"Loja 23";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Helena Lima";"88899900011";"Individual";"11988776655";"helena.lima@email";"Rua Augusta 890";"";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Igor Santos";"99900111122";"Empresarial";"119";"igor.santos@empresa.com";"Avenida Brasil 432";"Sala 405";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"João Santos";"";"Individual";"11999887766";"joao.santos@email.com";"Rua dos Pinheiros 500";"";"27/10/2024 14:29:44";"27/10/2024 14:29:44"
"João Silva";"12345678900";"Individual";"11912345678";"joao.silva@example.com";"Rua das Flores";"123";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"João Silva";"21345678900";"Individual";"11988776655";"joao.silva@email.com";"Rua das Flores 123";"Apto 42";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Julia Santos";"99900011122";"Individual";"1198877";"julia.santos@email.com";"Rua das Margaridas 567";"Apto 89";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Lucas Mendes";"32122233344";"Individual";"11977665544";"lucas.mendes@email.com";"Rua dos Pinheiros 789";"Casa 4";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Lucas Pereira";"78912345600";"Individual";"51965432109";"lucas.pereira@example.com";"Rua das Acácias";"202";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"Lucia Costa";"33144455566";"Individual";"11988776655";"";"Rua Oscar Freire 123";"Casa 2";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Maria Oliveira";"98765432100";"Empresarial";"11966554433";"maria.oliveira@empresa.com";"Avenida Paulista 1000";"Sala 505";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"Mariana Costa";"12322233344";"Individual";"11988776655";"mariana.costa@email.com";"Rua das Palmeiras 432";"";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Pedro Mendes";"12333344455";"Empresarial";"11987654321";"pedro@empresa";"Rua Augusta 567";"Conjunto 12";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Pedro Santos";"45678912300";"Individual";"31987654321";"pedro.santos@example.com";"Rua das Palmeiras";"789";"27/10/2024 14:27:22";"27/10/2024 14:38:01"
"Rafael Pereira";"00011122233";"Empresarial";"1198877665523";"rafael@empresa.com";"Avenida Rebouças 789";"Sala 1203";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Roberto Almeida";"44455566677";"Empresarial";"11977665544";"roberto.almeida@email.com";"";"Sala 301";"27/10/2024 14:29:44";"27/10/2024 14:38:01"
"Sofia Santos";"51566677788";"Individual";"11988776655";"sofia.santos@email.com";"Rua Beatriz 45";"";"27/10/2024 14:38:01";"27/10/2024 14:38:01"
"Thor Furukawa";"1198764654";"";"1198764654";"";"";"";"27/10/2024 14:49:19";"27/10/2024 14:49:19"
